Season,Date,Time,Home,Away,Result
2018/2019,12/05/2019,12:00,Piast Gliwice,Jagiellonia,H
2018/2019,12/05/2019,14:30,Legia,Pogon Szczecin,D
2018/2019,12/05/2019,17:00,Lechia Gdansk,Zaglebie,D
2018/2019,13/05/2019,17:00,Arka Gdynia,Wisla,H
2018/2019,14/05/2019,19:30,Gornik Z.,Wisla Plock,A
2018/2019,14/05/2019,19:30,Legnica,Slask Wroclaw,A
2018/2019,14/05/2019,19:30,Zaglebie Sosnowiec,Korona Kielce,A
2018/2019,15/05/2019,19:30,Jagiellonia,Legia,H
2018/2019,15/05/2019,19:30,Lech Poznan,Lechia Gdansk,H
2018/2019,15/05/2019,19:30,Pogon Szczecin,Piast Gliwice,D
2018/2019,15/05/2019,19:30,Zaglebie,Cracovia,A
2018/2019,18/05/2019,14:30,Korona Kielce,Gornik Z.,A
2018/2019,18/05/2019,14:30,Wisla Plock,Zaglebie Sosnowiec,D
2018/2019,18/05/2019,14:30,Slask Wroclaw,Arka Gdynia,H
2018/2019,18/05/2019,14:30,Wisla,Legnica,A
2018/2019,19/05/2019,17:00,Cracovia,Pogon Szczecin,A
2018/2019,19/05/2019,17:00,Lechia Gdansk,Jagiellonia,H
2018/2019,19/05/2019,17:00,Legia,Zaglebie,D
2018/2019,19/05/2019,17:00,Piast Gliwice,Lech Poznan,H
2019/2020,19/07/2019,17:00,Arka Gdynia,Jagiellonia,A
2019/2020,19/07/2019,19:30,LKS Lodz,Lechia Gdansk,D
2019/2020,20/07/2019,14:00,Rakow,Korona Kielce,A
2019/2020,20/07/2019,16:30,Wisla,Slask Wroclaw,A
2019/2020,20/07/2019,19:00,Piast Gliwice,Lech Poznan,D
2019/2020,21/07/2019,14:00,Zaglebie,Cracovia,D
2019/2020,21/07/2019,16:30,Legia,Pogon Szczecin,A
2019/2020,22/07/2019,17:00,Wisla Plock,Gornik Z.,D
2019/2020,26/07/2019,17:00,Gornik Z.,Zaglebie,H
2019/2020,26/07/2019,19:30,Lech Poznan,Wisla Plock,H
2019/2020,27/07/2019,16:30,Cracovia,LKS Lodz,A
2019/2020,27/07/2019,19:00,Jagiellonia,Rakow,A
2019/2020,28/07/2019,14:00,Korona Kielce,Legia,A
2019/2020,28/07/2019,16:30,Lechia Gdansk,Wisla,D
2019/2020,28/07/2019,16:30,Slask Wroclaw,Piast Gliwice,H
2019/2020,29/07/2019,17:00,Pogon Szczecin,Arka Gdynia,H
2019/2020,02/08/2019,17:00,Arka Gdynia,Korona Kielce,D
2019/2020,02/08/2019,19:30,Zaglebie,Jagiellonia,D
2019/2020,03/08/2019,16:30,Rakow,Cracovia,A
2019/2020,03/08/2019,19:00,LKS Lodz,Lech Poznan,A
2019/2020,04/08/2019,14:00,Wisla Plock,Lechia Gdansk,A
2019/2020,04/08/2019,16:30,Legia,Slask Wroclaw,D
2019/2020,04/08/2019,16:30,Piast Gliwice,Pogon Szczecin,D
2019/2020,05/08/2019,17:00,Wisla,Gornik Z.,H
2019/2020,09/08/2019,19:30,Lech Poznan,Slask Wroclaw,A
2019/2020,10/08/2019,14:00,Pogon Szczecin,Wisla,H
2019/2020,10/08/2019,16:30,Zaglebie,Arka Gdynia,H
2019/2020,10/08/2019,19:00,Gornik Z.,Rakow,H
2019/2020,11/08/2019,14:00,LKS Lodz,Piast Gliwice,A
2019/2020,11/08/2019,16:30,Cracovia,Korona Kielce,H
2019/2020,12/08/2019,17:00,Lechia Gdansk,Jagiellonia,D
2019/2020,16/08/2019,19:30,Wisla,LKS Lodz,H
2019/2020,17/08/2019,14:00,Slask Wroclaw,Cracovia,H
2019/2020,17/08/2019,16:30,Arka Gdynia,Lech Poznan,D
2019/2020,17/08/2019,19:00,Jagiellonia,Gornik Z.,H
2019/2020,18/08/2019,14:00,Piast Gliwice,Wisla Plock,H
2019/2020,18/08/2019,16:30,Legia,Zaglebie,H
2019/2020,18/08/2019,16:30,Rakow,Lechia Gdansk,H
2019/2020,19/08/2019,17:00,Korona Kielce,Pogon Szczecin,A
2019/2020,23/08/2019,19:30,Jagiellonia,Wisla,H
2019/2020,24/08/2019,14:00,Cracovia,Arka Gdynia,H
2019/2020,24/08/2019,16:30,Lechia Gdansk,Slask Wroclaw,D
2019/2020,24/08/2019,19:00,Rakow,Lech Poznan,A
2019/2020,25/08/2019,14:00,Gornik Z.,Korona Kielce,H
2019/2020,25/08/2019,16:30,LKS Lodz,Legia,A
2019/2020,25/08/2019,16:30,Zaglebie,Piast Gliwice,A
2019/2020,26/08/2019,17:00,Pogon Szczecin,Wisla Plock,A
2019/2020,30/08/2019,17:00,Arka Gdynia,Gornik Z.,H
2019/2020,30/08/2019,19:30,Korona Kielce,Jagiellonia,A
2019/2020,31/08/2019,14:00,Wisla Plock,LKS Lodz,H
2019/2020,31/08/2019,16:30,Piast Gliwice,Lechia Gdansk,A
2019/2020,31/08/2019,19:00,Wisla,Zaglebie,H
2019/2020,01/09/2019,14:00,Slask Wroclaw,Pogon Szczecin,D
2019/2020,01/09/2019,16:30,Lech Poznan,Cracovia,A
2019/2020,01/09/2019,19:00,Legia,Rakow,H
2019/2020,13/09/2019,17:00,Zaglebie,Wisla Plock,H
2019/2020,13/09/2019,19:30,Jagiellonia,Legia,D
2019/2020,14/09/2019,14:00,Rakow,Arka Gdynia,H
2019/2020,14/09/2019,16:30,Lechia Gdansk,Lech Poznan,H
2019/2020,14/09/2019,19:00,Korona Kielce,Wisla,D
2019/2020,15/09/2019,14:00,Pogon Szczecin,LKS Lodz,H
2019/2020,15/09/2019,16:30,Gornik Z.,Slask Wroclaw,D
2019/2020,16/09/2019,17:00,Cracovia,Piast Gliwice,H
2019/2020,18/09/2019,17:00,Wisla Plock,Legia,H
2019/2020,20/09/2019,17:00,Piast Gliwice,Rakow,H
2019/2020,20/09/2019,19:30,Lech Poznan,Jagiellonia,D
2019/2020,21/09/2019,14:00,LKS Lodz,Arka Gdynia,A
2019/2020,21/09/2019,16:30,Lechia Gdansk,Korona Kielce,H
2019/2020,21/09/2019,19:00,Slask Wroclaw,Zaglebie,D
2019/2020,22/09/2019,11:30,Wisla Plock,Wisla,H
2019/2020,22/09/2019,14:00,Pogon Szczecin,Gornik Z.,D
2019/2020,22/09/2019,16:30,Cracovia,Legia,A
2019/2020,27/09/2019,19:30,Korona Kielce,Slask Wroclaw,H
2019/2020,28/09/2019,14:00,Rakow,Wisla Plock,A
2019/2020,28/09/2019,16:30,Legia,Lechia Gdansk,A
2019/2020,28/09/2019,19:00,Gornik Z.,Lech Poznan,A
2019/2020,29/09/2019,11:30,Arka Gdynia,Piast Gliwice,D
2019/2020,29/09/2019,14:00,Jagiellonia,Pogon Szczecin,A
2019/2020,29/09/2019,16:30,Wisla,Cracovia,A
2019/2020,30/09/2019,17:00,Zaglebie,LKS Lodz,H
2019/2020,04/10/2019,17:00,Wisla Plock,Arka Gdynia,H
2019/2020,04/10/2019,19:30,Slask Wroclaw,Jagiellonia,D
2019/2020,05/10/2019,14:00,Pogon Szczecin,Rakow,A
2019/2020,05/10/2019,16:30,Lech Poznan,Wisla,H
2019/2020,05/10/2019,19:00,Lechia Gdansk,Zaglebie,A
2019/2020,06/10/2019,11:30,LKS Lodz,Korona Kielce,H
2019/2020,06/10/2019,14:00,Cracovia,Gornik Z.,D
2019/2020,06/10/2019,16:30,Piast Gliwice,Legia,H
2019/2020,18/10/2019,17:00,Zaglebie,Pogon Szczecin,A
2019/2020,18/10/2019,19:30,Wisla,Piast Gliwice,A
2019/2020,19/10/2019,14:00,Korona Kielce,Wisla Plock,A
2019/2020,19/10/2019,16:30,Legia,Lech Poznan,H
2019/2020,19/10/2019,19:00,Jagiellonia,Cracovia,H
2019/2020,20/10/2019,14:00,Arka Gdynia,Lechia Gdansk,D
2019/2020,20/10/2019,16:30,Gornik Z.,LKS Lodz,D
2019/2020,21/10/2019,17:00,Rakow,Slask Wroclaw,H
2019/2020,25/10/2019,17:00,Cracovia,Pogon Szczecin,H
2019/2020,25/10/2019,19:30,Lech Poznan,Zaglebie,A
2019/2020,26/10/2019,14:00,LKS Lodz,Rakow,H
2019/2020,26/10/2019,16:30,Piast Gliwice,Korona Kielce,H
2019/2020,26/10/2019,19:00,Lechia Gdansk,Gornik Z.,D
2019/2020,27/10/2019,11:30,Wisla Plock,Jagiellonia,H
2019/2020,27/10/2019,14:00,Slask Wroclaw,Arka Gdynia,H
2019/2020,27/10/2019,16:30,Legia,Wisla,H
2019/2020,02/11/2019,14:00,Korona Kielce,Zaglebie,H
2019/2020,02/11/2019,16:30,Cracovia,Lechia Gdansk,H
2019/2020,02/11/2019,19:00,Pogon Szczecin,Lech Poznan,D
2019/2020,03/11/2019,11:30,Jagiellonia,LKS Lodz,H
2019/2020,03/11/2019,14:00,Gornik Z.,Piast Gliwice,D
2019/2020,03/11/2019,16:30,Arka Gdynia,Legia,A
2019/2020,04/11/2019,17:00,Slask Wroclaw,Wisla Plock,H
2019/2020,04/11/2019,19:30,Rakow,Wisla,H
2019/2020,08/11/2019,17:00,LKS Lodz,Slask Wroclaw,A
2019/2020,08/11/2019,19:30,Piast Gliwice,Jagiellonia,H
2019/2020,09/11/2019,14:00,Wisla Plock,Cracovia,D
2019/2020,09/11/2019,16:30,Legia,Gornik Z.,H
2019/2020,09/11/2019,19:00,Wisla,Arka Gdynia,A
2019/2020,10/11/2019,11:30,Zaglebie,Rakow,D
2019/2020,10/11/2019,14:00,Lech Poznan,Korona Kielce,D
2019/2020,10/11/2019,16:30,Lechia Gdansk,Pogon Szczecin,A
2019/2020,22/11/2019,17:00,Gornik Z.,Wisla Plock,D
2019/2020,22/11/2019,19:30,Lech Poznan,Piast Gliwice,H
2019/2020,23/11/2019,14:00,Korona Kielce,Rakow,H
2019/2020,23/11/2019,16:30,Pogon Szczecin,Legia,H
2019/2020,23/11/2019,19:00,Lechia Gdansk,LKS Lodz,H
2019/2020,24/11/2019,14:00,Jagiellonia,Arka Gdynia,H
2019/2020,24/11/2019,16:30,Slask Wroclaw,Wisla,H
2019/2020,25/11/2019,17:00,Cracovia,Zaglebie,H
2019/2020,29/11/2019,17:00,Zaglebie,Gornik Z.,H
2019/2020,29/11/2019,19:30,Wisla Plock,Lech Poznan,A
2019/2020,30/11/2019,14:00,Arka Gdynia,Pogon Szczecin,D
2019/2020,30/11/2019,16:30,Piast Gliwice,Slask Wroclaw,A
2019/2020,30/11/2019,19:00,Legia,Korona Kielce,H
2019/2020,01/12/2019,11:30,Rakow,Jagiellonia,H
2019/2020,01/12/2019,14:00,LKS Lodz,Cracovia,H
2019/2020,01/12/2019,16:30,Wisla,Lechia Gdansk,A
2019/2020,06/12/2019,17:00,Korona Kielce,Arka Gdynia,A
2019/2020,06/12/2019,19:30,Gornik Z.,Wisla,H
2019/2020,07/12/2019,14:00,Jagiellonia,Zaglebie,A
2019/2020,07/12/2019,16:30,Lech Poznan,LKS Lodz,H
2019/2020,07/12/2019,19:00,Lechia Gdansk,Wisla Plock,H
2019/2020,08/12/2019,11:30,Cracovia,Rakow,H
2019/2020,08/12/2019,14:00,Pogon Szczecin,Piast Gliwice,H
2019/2020,08/12/2019,16:30,Slask Wroclaw,Legia,A
2019/2020,13/12/2019,17:00,Arka Gdynia,Zaglebie,H
2019/2020,13/12/2019,19:30,Wisla,Pogon Szczecin,H
2019/2020,14/12/2019,14:00,Rakow,Gornik Z.,H
2019/2020,14/12/2019,16:30,Slask Wroclaw,Lech Poznan,D
2019/2020,14/12/2019,19:00,Legia,Wisla Plock,H
2019/2020,15/12/2019,11:30,Piast Gliwice,LKS Lodz,H
2019/2020,15/12/2019,14:00,Korona Kielce,Cracovia,H
2019/2020,15/12/2019,16:30,Jagiellonia,Lechia Gdansk,H
2019/2020,19/12/2019,17:00,LKS Lodz,Wisla,A
2019/2020,19/12/2019,19:30,Lech Poznan,Arka Gdynia,D
2019/2020,20/12/2019,17:00,Cracovia,Slask Wroclaw,H
2019/2020,20/12/2019,17:00,Pogon Szczecin,Korona Kielce,A
2019/2020,20/12/2019,19:30,Zaglebie,Legia,H
2019/2020,21/12/2019,14:00,Lechia Gdansk,Rakow,A
2019/2020,21/12/2019,16:30,Wisla Plock,Piast Gliwice,H
2019/2020,21/12/2019,19:00,Gornik Z.,Jagiellonia,H
2019/2020,07/02/2020,17:00,Arka Gdynia,Cracovia,A
2019/2020,07/02/2020,19:30,Slask Wroclaw,Lechia Gdansk,D
2019/2020,08/02/2020,14:00,Korona Kielce,Gornik Z.,D
2019/2020,08/02/2020,16:30,Lech Poznan,Rakow,H
2019/2020,08/02/2020,19:00,Wisla,Jagiellonia,H
2019/2020,09/02/2020,11:30,Wisla Plock,Pogon Szczecin,A
2019/2020,09/02/2020,14:00,Piast Gliwice,Zaglebie,H
2019/2020,09/02/2020,16:30,Legia,LKS Lodz,H
2019/2020,14/02/2020,17:00,Gornik Z.,Arka Gdynia,H
2019/2020,14/02/2020,19:30,Lechia Gdansk,Piast Gliwice,H
2019/2020,15/02/2020,14:00,LKS Lodz,Wisla Plock,D
2019/2020,15/02/2020,16:30,Pogon Szczecin,Slask Wroclaw,D
2019/2020,15/02/2020,19:00,Rakow,Legia,D
2019/2020,16/02/2020,11:30,Jagiellonia,Korona Kielce,D
2019/2020,16/02/2020,14:00,Zaglebie,Wisla,A
2019/2020,16/02/2020,16:30,Cracovia,Lech Poznan,H
2019/2020,21/02/2020,17:00,LKS Lodz,Pogon Szczecin,D
2019/2020,21/02/2020,19:30,Slask Wroclaw,Gornik Z.,H
2019/2020,22/02/2020,14:00,Arka Gdynia,Rakow,H
2019/2020,22/02/2020,16:30,Legia,Jagiellonia,H
2019/2020,22/02/2020,19:00,Piast Gliwice,Cracovia,H
2019/2020,23/02/2020,11:30,Wisla Plock,Zaglebie,D
2019/2020,23/02/2020,14:00,Wisla,Korona Kielce,H
2019/2020,23/02/2020,16:30,Lech Poznan,Lechia Gdansk,H
2019/2020,28/02/2020,17:00,Rakow,Piast Gliwice,H
2019/2020,28/02/2020,19:30,Jagiellonia,Lech Poznan,D
2019/2020,29/02/2020,14:00,Wisla,Wisla Plock,D
2019/2020,29/02/2020,16:30,Gornik Z.,Pogon Szczecin,H
2019/2020,29/02/2020,19:00,Legia,Cracovia,H
2019/2020,01/03/2020,11:30,Korona Kielce,Lechia Gdansk,A
2019/2020,01/03/2020,14:00,Arka Gdynia,LKS Lodz,D
2019/2020,01/03/2020,16:30,Zaglebie,Slask Wroclaw,H
2019/2020,03/03/2020,17:00,Lech Poznan,Gornik Z.,H
2019/2020,03/03/2020,17:00,Wisla Plock,Rakow,A
2019/2020,03/03/2020,19:30,Cracovia,Wisla,A
2019/2020,03/03/2020,19:30,Pogon Szczecin,Jagiellonia,A
2019/2020,04/03/2020,17:00,LKS Lodz,Zaglebie,H
2019/2020,04/03/2020,17:00,Slask Wroclaw,Korona Kielce,H
2019/2020,04/03/2020,19:30,Lechia Gdansk,Legia,A
2019/2020,04/03/2020,19:30,Piast Gliwice,Arka Gdynia,H
2019/2020,06/03/2020,19:30,Gornik Z.,Cracovia,H
2019/2020,07/03/2020,14:00,Arka Gdynia,Wisla Plock,A
2019/2020,07/03/2020,16:30,Zaglebie,Lechia Gdansk,D
2019/2020,07/03/2020,19:00,Jagiellonia,Slask Wroclaw,H
2019/2020,08/03/2020,11:30,Rakow,Pogon Szczecin,D
2019/2020,08/03/2020,14:00,Wisla,Lech Poznan,D
2019/2020,08/03/2020,16:30,Legia,Piast Gliwice,A
2019/2020,09/03/2020,17:00,Korona Kielce,LKS Lodz,H
2019/2020,29/05/2020,17:00,Slask Wroclaw,Rakow,D
2019/2020,29/05/2020,19:30,Pogon Szczecin,Zaglebie,A
2019/2020,30/05/2020,14:00,LKS Lodz,Gornik Z.,A
2019/2020,30/05/2020,16:30,Piast Gliwice,Wisla,H
2019/2020,30/05/2020,19:00,Lech Poznan,Legia,A
2019/2020,31/05/2020,11:30,Wisla Plock,Korona Kielce,A
2019/2020,31/05/2020,14:00,Cracovia,Jagiellonia,A
2019/2020,31/05/2020,16:30,Lechia Gdansk,Arka Gdynia,H
2019/2020,05/06/2020,17:00,Korona Kielce,Piast Gliwice,A
2019/2020,05/06/2020,19:30,Gornik Z.,Lechia Gdansk,D
2019/2020,06/06/2020,14:00,Jagiellonia,Wisla Plock,D
2019/2020,06/06/2020,16:30,Zaglebie,Lech Poznan,D
2019/2020,06/06/2020,19:00,Pogon Szczecin,Cracovia,H
2019/2020,07/06/2020,11:30,Rakow,LKS Lodz,D
2019/2020,07/06/2020,14:00,Arka Gdynia,Slask Wroclaw,H
2019/2020,07/06/2020,16:30,Wisla,Legia,A
2019/2020,09/06/2020,17:00,Lechia Gdansk,Cracovia,A
2019/2020,09/06/2020,17:00,Piast Gliwice,Gornik Z.,D
2019/2020,09/06/2020,19:30,Lech Poznan,Pogon Szczecin,H
2019/2020,09/06/2020,19:30,Zaglebie,Korona Kielce,D
2019/2020,10/06/2020,17:00,Wisla,Rakow,H
2019/2020,10/06/2020,17:00,Wisla Plock,Slask Wroclaw,A
2019/2020,10/06/2020,19:30,Legia,Arka Gdynia,H
2019/2020,10/06/2020,19:30,LKS Lodz,Jagiellonia,A
2019/2020,14/06/2020,17:00,Arka Gdynia,Wisla,D
2019/2020,14/06/2020,17:00,Cracovia,Wisla Plock,D
2019/2020,14/06/2020,17:00,Gornik Z.,Legia,H
2019/2020,14/06/2020,17:00,Jagiellonia,Piast Gliwice,A
2019/2020,14/06/2020,17:00,Korona Kielce,Lech Poznan,A
2019/2020,14/06/2020,17:00,Pogon Szczecin,Lechia Gdansk,D
2019/2020,14/06/2020,17:00,Rakow,Zaglebie,H
2019/2020,14/06/2020,17:00,Slask Wroclaw,LKS Lodz,H
2019/2020,19/06/2020,17:00,Zaglebie,LKS Lodz,H
2019/2020,19/06/2020,19:30,Gornik Z.,Korona Kielce,H
2019/2020,20/06/2020,14:00,Wisla Plock,Arka Gdynia,D
2019/2020,20/06/2020,16:30,Piast Gliwice,Lech Poznan,A
2019/2020,20/06/2020,19:00,Rakow,Wisla,H
2019/2020,21/06/2020,11:30,Pogon Szczecin,Lechia Gdansk,A
2019/2020,21/06/2020,14:00,Cracovia,Jagiellonia,A
2019/2020,21/06/2020,16:30,Legia,Slask Wroclaw,H
2019/2020,23/06/2020,17:00,Arka Gdynia,Zaglebie,H
2019/2020,23/06/2020,17:00,Korona Kielce,Rakow,A
2019/2020,23/06/2020,19:30,LKS Lodz,Gornik Z.,A
2019/2020,23/06/2020,19:30,Wisla,Wisla Plock,H
2019/2020,24/06/2020,17:00,Lechia Gdansk,Piast Gliwice,H
2019/2020,24/06/2020,19:30,Jagiellonia,Legia,D
2019/2020,24/06/2020,19:30,Lech Poznan,Pogon Szczecin,D
2019/2020,25/06/2020,18:00,Slask Wroclaw,Cracovia,H
2019/2020,26/06/2020,17:00,Rakow,Arka Gdynia,H
2019/2020,26/06/2020,19:30,Zaglebie,Korona Kielce,H
2019/2020,27/06/2020,14:00,Wisla Plock,LKS Lodz,H
2019/2020,27/06/2020,16:30,Legia,Piast Gliwice,D
2019/2020,27/06/2020,19:00,Gornik Z.,Wisla,A
2019/2020,28/06/2020,14:00,Jagiellonia,Lechia Gdansk,A
2019/2020,28/06/2020,16:30,Slask Wroclaw,Lech Poznan,D
2019/2020,29/06/2020,17:00,Cracovia,Pogon Szczecin,H
2019/2020,03/07/2020,17:00,LKS Lodz,Wisla,A
2019/2020,03/07/2020,19:30,Korona Kielce,Arka Gdynia,D
2019/2020,04/07/2020,14:00,Rakow,Zaglebie,A
2019/2020,04/07/2020,16:30,Lech Poznan,Legia,H
2019/2020,04/07/2020,19:00,Lechia Gdansk,Cracovia,A
2019/2020,05/07/2020,14:00,Pogon Szczecin,Jagiellonia,D
2019/2020,05/07/2020,16:30,Piast Gliwice,Slask Wroclaw,H
2019/2020,06/07/2020,17:00,Wisla Plock,Gornik Z.,H
2019/2020,10/07/2020,17:00,Zaglebie,Wisla Plock,A
2019/2020,10/07/2020,19:30,Gornik Z.,Rakow,H
2019/2020,11/07/2020,14:00,Arka Gdynia,LKS Lodz,H
2019/2020,11/07/2020,16:30,Legia,Cracovia,H
2019/2020,11/07/2020,19:00,Wisla,Korona Kielce,D
2019/2020,12/07/2020,11:30,Slask Wroclaw,Pogon Szczecin,D
2019/2020,12/07/2020,14:00,Piast Gliwice,Jagiellonia,H
2019/2020,12/07/2020,16:30,Lech Poznan,Lechia Gdansk,H
2019/2020,14/07/2020,19:30,Arka Gdynia,Gornik Z.,A
2019/2020,14/07/2020,19:30,LKS Lodz,Rakow,H
2019/2020,14/07/2020,19:30,Wisla Plock,Korona Kielce,H
2019/2020,14/07/2020,19:30,Zaglebie,Wisla,H
2019/2020,15/07/2020,19:30,Cracovia,Lech Poznan,A
2019/2020,15/07/2020,19:30,Jagiellonia,Slask Wroclaw,H
2019/2020,15/07/2020,19:30,Lechia Gdansk,Legia,D
2019/2020,15/07/2020,19:30,Pogon Szczecin,Piast Gliwice,H
2019/2020,18/07/2020,16:30,Gornik Z.,Zaglebie,A
2019/2020,18/07/2020,16:30,Korona Kielce,LKS Lodz,H
2019/2020,18/07/2020,16:30,Rakow,Wisla Plock,H
2019/2020,18/07/2020,16:30,Wisla,Arka Gdynia,A
2019/2020,19/07/2020,16:30,Lech Poznan,Jagiellonia,H
2019/2020,19/07/2020,16:30,Legia,Pogon Szczecin,A
2019/2020,19/07/2020,16:30,Piast Gliwice,Cracovia,D
2019/2020,19/07/2020,16:30,Slask Wroclaw,Lechia Gdansk,A
2020/2021,21/08/2020,17:00,Zaglebie,Lech Poznan,H
2020/2021,22/08/2020,14:00,Cracovia,Pogon Szczecin,H
2020/2021,22/08/2020,16:30,Slask Wroclaw,Piast Gliwice,H
2020/2021,22/08/2020,19:00,Rakow,Legia,A
2020/2021,23/08/2020,11:30,Wisla Plock,Stal Mielec,D
2020/2021,23/08/2020,14:00,Warta Poznan,Lechia Gdansk,A
2020/2021,23/08/2020,16:30,Gornik Z.,Podbeskidzie,H
2020/2021,24/08/2020,17:00,Jagiellonia,Wisla,D
2020/2021,28/08/2020,17:00,Zaglebie,Warta Poznan,H
2020/2021,28/08/2020,19:30,Stal Mielec,Gornik Z.,A
2020/2021,29/08/2020,14:00,Lechia Gdansk,Rakow,A
2020/2021,29/08/2020,16:30,Wisla,Slask Wroclaw,A
2020/2021,29/08/2020,19:00,Legia,Jagiellonia,A
2020/2021,30/08/2020,11:30,Piast Gliwice,Pogon Szczecin,A
2020/2021,30/08/2020,14:00,Podbeskidzie,Cracovia,D
2020/2021,30/08/2020,16:30,Lech Poznan,Wisla Plock,D
2020/2021,11/09/2020,17:00,Jagiellonia,Podbeskidzie,D
2020/2021,11/09/2020,19:30,Wisla Plock,Legia,A
2020/2021,12/09/2020,14:00,Cracovia,Stal Mielec,D
2020/2021,12/09/2020,16:30,Warta Poznan,Piast Gliwice,D
2020/2021,12/09/2020,19:00,Slask Wroclaw,Lech Poznan,D
2020/2021,13/09/2020,14:00,Pogon Szczecin,Wisla,D
2020/2021,13/09/2020,16:30,Gornik Z.,Lechia Gdansk,H
2020/2021,14/09/2020,17:00,Rakow,Zaglebie,H
2020/2021,18/09/2020,17:00,Podbeskidzie,Rakow,A
2020/2021,18/09/2020,19:30,Wisla,Wisla Plock,A
2020/2021,19/09/2020,14:00,Lechia Gdansk,Stal Mielec,H
2020/2021,19/09/2020,16:30,Pogon Szczecin,Slask Wroclaw,H
2020/2021,19/09/2020,19:00,Legia,Gornik Z.,A
2020/2021,20/09/2020,14:00,Zaglebie,Cracovia,D
2020/2021,20/09/2020,16:30,Lech Poznan,Warta Poznan,H
2020/2021,21/09/2020,17:00,Piast Gliwice,Jagiellonia,A
2020/2021,25/09/2020,17:00,Wisla Plock,Warta Poznan,A
2020/2021,25/09/2020,19:30,Gornik Z.,Wisla,D
2020/2021,26/09/2020,14:00,Cracovia,Rakow,D
2020/2021,26/09/2020,16:30,Lechia Gdansk,Podbeskidzie,H
2020/2021,26/09/2020,19:00,Jagiellonia,Zaglebie,A
2020/2021,28/09/2020,17:00,Stal Mielec,Piast Gliwice,H
2020/2021,02/10/2020,17:00,Rakow,Wisla Plock,H
2020/2021,02/10/2020,19:30,Slask Wroclaw,Cracovia,H
2020/2021,03/10/2020,14:00,Podbeskidzie,Stal Mielec,H
2020/2021,03/10/2020,19:00,Zaglebie,Gornik Z.,H
2020/2021,04/10/2020,16:30,Piast Gliwice,Lech Poznan,A
2020/2021,17/10/2020,14:00,Cracovia,Piast Gliwice,H
2020/2021,17/10/2020,16:30,Gornik Z.,Rakow,A
2020/2021,17/10/2020,19:00,Jagiellonia,Lech Poznan,H
2020/2021,18/10/2020,11:30,Wisla Plock,Slask Wroclaw,H
2020/2021,18/10/2020,14:00,Stal Mielec,Wisla,A
2020/2021,18/10/2020,16:30,Legia,Zaglebie,H
2020/2021,19/10/2020,17:00,Podbeskidzie,Warta Poznan,A
2020/2021,19/10/2020,19:30,Lechia Gdansk,Pogon Szczecin,A
2020/2021,21/10/2020,17:00,Legia,Slask Wroclaw,H
2020/2021,23/10/2020,17:00,Piast Gliwice,Wisla Plock,D
2020/2021,23/10/2020,19:30,Zaglebie,Lechia Gdansk,D
2020/2021,24/10/2020,14:00,Wisla,Podbeskidzie,H
2020/2021,24/10/2020,16:30,Slask Wroclaw,Jagiellonia,H
2020/2021,24/10/2020,19:00,Pogon Szczecin,Legia,D
2020/2021,25/10/2020,14:00,Rakow,Stal Mielec,H
2020/2021,25/10/2020,16:30,Lech Poznan,Cracovia,D
2020/2021,26/10/2020,17:00,Warta Poznan,Gornik Z.,A
2020/2021,28/10/2020,17:00,Wisla,Lechia Gdansk,A
2020/2021,30/10/2020,17:00,Pogon Szczecin,Jagiellonia,H
2020/2021,02/11/2020,17:00,Warta Poznan,Legia,A
2020/2021,07/11/2020,14:00,Stal Mielec,Warta Poznan,A
2020/2021,07/11/2020,16:30,Cracovia,Jagiellonia,H
2020/2021,07/11/2020,19:00,Slask Wroclaw,Gornik Z.,D
2020/2021,08/11/2020,14:00,Legia,Lech Poznan,H
2020/2021,08/11/2020,16:30,Rakow,Wisla,D
2020/2021,09/11/2020,17:00,Pogon Szczecin,Podbeskidzie,D
2020/2021,20/11/2020,17:00,Lechia Gdansk,Slask Wroclaw,H
2020/2021,20/11/2020,19:30,Gornik Z.,Piast Gliwice,A
2020/2021,21/11/2020,16:30,Zaglebie,Stal Mielec,D
2020/2021,21/11/2020,19:00,Warta Poznan,Wisla,H
2020/2021,22/11/2020,11:30,Lech Poznan,Rakow,D
2020/2021,22/11/2020,16:30,Cracovia,Legia,A
2020/2021,23/11/2020,17:00,Piast Gliwice,Lechia Gdansk,H
2020/2021,23/11/2020,19:30,Jagiellonia,Wisla Plock,H
2020/2021,24/11/2020,17:00,Podbeskidzie,Zaglebie,H
2020/2021,27/11/2020,17:00,Wisla Plock,Cracovia,A
2020/2021,27/11/2020,19:30,Gornik Z.,Pogon Szczecin,H
2020/2021,28/11/2020,14:00,Stal Mielec,Jagiellonia,H
2020/2021,28/11/2020,16:30,Podbeskidzie,Slask Wroclaw,A
2020/2021,28/11/2020,19:00,Wisla,Zaglebie,A
2020/2021,29/11/2020,14:00,Rakow,Warta Poznan,H
2020/2021,29/11/2020,16:30,Legia,Piast Gliwice,D
2020/2021,30/11/2020,17:00,Lechia Gdansk,Lech Poznan,A
2020/2021,02/12/2020,17:00,Wisla Plock,Pogon Szczecin,D
2020/2021,04/12/2020,19:30,Cracovia,Wisla,D
2020/2021,05/12/2020,14:00,Jagiellonia,Warta Poznan,H
2020/2021,05/12/2020,16:30,Slask Wroclaw,Rakow,H
2020/2021,05/12/2020,19:00,Legia,Lechia Gdansk,H
